"","gender","Age","attitude","deep","stra","surf","Points"
"1","F",53,3.7,516,216,372,25
"2","M",55,3.1,420,176,456,12
"3","F",49,2.5,504,232,324,24
"4","M",53,3.5,504,200,324,10
"5","M",49,3.7,528,232,408,22
"6","F",38,3.8,684,232,348,21
"7","M",50,3.5,552,144,276,21
"8","F",37,2.9,468,256,408,31
"9","M",37,3.8,624,272,312,24
"10","F",42,2.1,576,224,432,26
"11","M",37,3.9,516,232,384,31
"12","F",34,3.8,552,304,348,31
"13","F",34,2.4,612,232,324,23
"14","F",34,3,480,224,396,25
"15","M",35,2.6,600,112,336,21
"17","F",33,4.1,528,248,336,31
"18","F",32,2.6,588,88,420,20
"19","F",44,2.6,504,208,360,22
"20","M",29,1.7,588,192,540,9
"21","F",30,2.7,576,240,396,24
"22","M",27,3.9,564,168,336,28
"23","M",29,3.4,576,152,348,30
"24","F",31,2.7,576,232,432,24
"25","F",37,2.3,528,176,348,9
"26","F",26,3.7,528,112,408,26
"27","F",26,4.4,636,208,456,32
"28","M",30,4.1,564,256,432,32
"30","F",33,3.7,540,232,288,33
"31","F",33,2.5,468,184,504,29
"32","M",28,3,516,192,540,30
"33","M",26,3.4,708,104,360,19
"34","F",27,3.2,516,208,300,23
"35","F",25,2,420,224,348,19
"36","F",31,2.4,528,192,372,12
"37","M",20,4.2,648,208,228,10
"38","F",39,1.6,588,120,408,11
"39","M",38,3.1,552,280,264,20
"40","M",24,3.8,468,232,348,26
"41","M",26,3.8,336,160,468,31
"42","M",25,3.3,480,80,492,20
"43","F",30,1.7,588,256,492,23
"44","F",25,2.5,420,192,456,12
"45","M",30,3.2,480,160,504,24
"46","F",48,3.5,552,312,384,17
"47","F",24,3.2,528,320,348,29
"48","F",40,4.2,672,280,516,23
"49","M",25,3.1,540,208,300,28
"50","F",23,3.9,492,256,540,31
"51","F",25,1.9,600,200,420,23
"52","F",23,2.1,420,160,420,25
"53","M",27,2.5,600,200,348,18
"54","M",25,3.2,516,208,432,19
"55","M",23,3.2,408,136,492,22
"56","F",23,2.6,576,176,420,25
"57","F",23,2.3,420,152,468,21
"58","F",45,3.8,432,200,468,9
"59","F",22,2.8,588,256,336,28
"60","F",23,3.3,420,256,468,25
"61","M",21,4.8,504,144,360,29
"62","M",21,4,624,208,252,33
"63","F",21,4,612,232,324,33
"64","F",21,4.7,492,232,300,25
"65","F",26,2.3,444,160,408,18
"66","F",25,3.1,660,120,408,22
"67","F",26,2.7,492,128,348,17
"68","M",21,4.1,492,120,324,25
"70","F",23,3.4,492,256,408,28
"71","F",22,2.5,516,184,324,22
"72","F",22,2.1,228,248,264,26
"73","F",22,1.4,480,160,420,11
"74","F",23,1.9,624,176,420,29
"75","M",22,3.7,636,288,300,22
"77","M",23,3.2,696,216,336,21
"78","M",24,2.8,444,168,348,28
"79","F",22,4.1,432,264,396,33
"80","F",23,2.5,588,168,468,16
"81","M",22,2.8,588,144,252,31
"82","M",20,3.8,540,176,372,22
"83","M",22,3.1,444,192,480,31
"84","M",21,3.5,684,104,408,23
"85","F",22,3.6,612,120,360,26
"86","F",23,2.6,600,216,348,12
"87","M",21,4.4,636,240,348,26
"88","M",22,4.5,552,136,372,31
"89","M",29,3.2,480,152,432,19
"91","F",29,3.9,456,176,288,30
"92","F",21,2.5,456,200,492,12
"93","M",28,3.3,552,224,408,17
"95","F",21,3.3,612,168,324,18
"96","F",30,3,552,216,396,19
"97","F",21,2.9,528,144,564,21
"98","M",23,3.3,552,192,336,24
"99","F",21,3.3,552,256,396,28
"100","F",21,3.5,552,224,396,17
"101","F",20,3.6,528,168,420,18
"103","M",22,3.7,624,160,300,17
"105","M",21,4.2,540,240,528,23
"107","M",21,3.2,600,232,408,26
"108","F",20,5,576,264,492,28
"109","M",22,4.7,576,280,228,31
"110","F",20,3.6,660,168,420,27
"111","F",20,3.6,528,256,432,25
"112","M",24,2.9,528,176,420,23
"113","F",20,3.5,552,176,384,21
"114","F",19,4,372,88,432,27
"115","F",21,3.5,504,144,396,28
"116","F",21,3.2,444,232,444,23
"117","F",22,2.6,612,240,360,21
"118","F",25,2,456,256,336,25
"119","F",21,2.7,444,200,432,11
"120","F",22,3.2,600,208,432,19
"121","F",25,3.3,324,136,576,24
"122","F",20,3.9,480,184,468,28
"123","M",24,3.3,444,96,504,21
"124","F",20,3,396,160,504,24
"125","M",21,3.7,468,208,552,24
"128","F",20,2.5,576,232,420,20
"129","F",20,2.9,516,248,312,19
"130","M",31,3.9,588,248,240,30
"131","F",20,3.6,612,152,300,22
"132","F",22,2.9,492,192,408,16
"133","F",22,2.1,444,216,492,16
"134","M",21,3.1,504,176,480,19
"136","M",22,4,528,288,372,30
"137","F",21,3.1,612,168,408,23
"138","F",21,2.3,612,176,480,19
"139","F",21,2.8,552,208,432,18
"140","F",21,3.7,636,264,372,28
"141","F",20,2.6,504,216,348,21
"142","F",21,2.4,516,176,516,19
"143","F",25,3,528,264,300,27
"146","M",21,2.8,300,208,624,24
"147","F",24,2.9,612,184,384,21
"148","F",20,2.4,516,184,432,20
"149","M",21,3.1,576,152,384,28
"150","F",20,1.9,480,248,312,12
"151","F",20,2,504,136,384,21
"152","F",18,3.8,456,256,324,28
"153","F",21,3.4,516,208,384,31
"154","F",19,3.7,492,168,480,18
"155","F",21,2.9,612,176,504,25
"156","F",20,2.3,468,256,396,19
"157","M",21,4.1,636,192,288,21
"158","F",20,2.7,468,216,408,16
"159","F",21,3.5,564,248,504,7
"160","F",20,3.4,516,208,360,21
"161","F",18,3.2,648,216,456,17
"162","M",22,3.3,516,264,444,22
"163","F",22,3.3,528,224,420,18
"164","M",24,3.5,372,128,456,25
"165","F",19,3.2,600,232,360,24
"166","F",20,3.1,468,216,552,23
"168","F",20,2.8,624,136,324,23
"169","F",17,1.7,564,296,492,26
"170","M",19,1.9,384,160,540,12
"172","F",20,3.5,444,184,432,32
"173","F",20,2.4,540,176,372,22
"175","F",20,2.1,600,256,480,20
"176","F",20,2.9,600,152,408,21
"177","F",19,1.9,468,248,432,23
"178","F",19,2,588,216,408,20
"179","F",22,4.2,420,112,456,28
"180","M",35,4.1,552,192,396,31
"181","F",18,3.7,456,168,492,18
"182","F",19,3.6,492,168,432,30
"183","M",21,1.8,588,216,384,19
